DeathReason,Parsing
"1a) intraventricular haemorrhage, 1b) cerebellar metastasis, 1c) lung cancer",Progressive disease
"1a, intraventricular haemorrhage, 1b, cerebellar metastasis, 1c, lung cancer",Progressive disease
"1a, pneumonia, 2, metastatic lung cancer, ischemic heart disease, vascular dementia",PossibleAE
"1a. bronchopnumonia, 1b. lung carcinoma",PossibleAE
"22/01/2019 hospitalization in wolfson with respiratory distress, double-sided pe - anesthetized and resuscitated. continued treatment in wolfson",Unknown
aborted side effects; pat. died,PossibleAE
acute blood loss,PossibleAE
acute myocardial infarction,PossibleAE
acute renal failure,PossibleAE
acute right heart failure in pulmonary arterial hypertension in the context of malignancy-associated recurrent thromboembolic events,Progressive disease
adenocarcinoma of the lung,Progressive disease
adenocarcinoma of the lung with extensive plueral adrenal and bone metastasis,Progressive disease
"although on palliative support, the death wasn't imminent, so cause of death not recorded as due to cancer progression. probably to be referred to the coroner",Unknown
aspiration pneumonia,PossibleAE
biopsy on 28/07/2021 confirmed poorly differentiated carcinoma from indefinite tumor origin. death date 03/08/2021,Progressive disease
brain progressive disease,Progressive disease
cancer,Progressive disease
cancer progression,Progressive disease
cancer progression vs. episodes of hypotension r/t heart issue,Progressive disease
carcinoma of lung,Progressive disease
carcinoma of the lung,Progressive disease
carcinomatosis caused by carcinoma of the lung,Progressive disease
cardiogenic shock,PossibleAE
cause of death unknown,Unknown
"cause of death unknown, patient not treated at roswell",Unknown
chest infection,PossibleAE
clinical progression,Progressive disease
complications due to nsclc,Progressive disease
covid + per hospital record dos 9-22-22,COVID
covid-19,COVID
cva,PossibleAE
data is missing,Unknown
dead from other ca or complications of ca,Progressive disease
dead from this ca or complications of ca,Progressive disease
death because the disease,Progressive disease
death before 1st restaging (presumably due to further tumor progression),Unknown
"death due to pneumonitis/drug toxicity, no disease progression - verified by ct and oncologist",Toxicity
"died after 1 treatment, reason not specified",Unknown
died at home - unknown,Unknown
died due to disease progression,Progressive disease
disease,Progressive disease
disease progression,Progressive disease
due to disease progression,Progressive disease
due to lymphoma progression,Progressive disease
